scope,sample,h,method,n,days
full_macro,matched,6,joint_selected,188,123
full_macro,matched,6,joint_shrunk,188,123
full_macro,all,12,sequential_ols,562,128
full_macro,all,12,joint_ols,562,128
full_macro,all,12,pca,562,128
full_macro,all,12,seq_xgb,562,128
full_macro,all,12,seq_mlp,562,128
full_macro,all,12,seq_spline,562,128
full_macro,all,12,joint_xgb,562,128
full_macro,all,12,joint_mlp,562,128
full_macro,all,12,joint_tensor,562,128
full_macro,all,12,seq_selected,562,128
full_macro,all,12,seq_shrunk,562,128
full_macro,all,12,joint_selected,562,128
full_macro,all,12,joint_shrunk,562,128
full_macro,matched,12,sequential_ols,188,123
full_macro,matched,12,joint_ols,188,123
full_macro,matched,12,pca,188,123
full_macro,matched,12,seq_xgb,188,123
full_macro,matched,12,seq_mlp,188,123
full_macro,matched,12,seq_spline,188,123
full_macro,matched,12,joint_xgb,188,123
full_macro,matched,12,joint_mlp,188,123
full_macro,matched,12,joint_tensor,188,123
full_macro,matched,12,seq_selected,188,123
full_macro,matched,12,seq_shrunk,188,123
full_macro,matched,12,joint_selected,188,123
full_macro,matched,12,joint_shrunk,188,123
